class,s2_user_accuracy,s1s2_user_accuracy,delta_user_accuracy,s2_producer_accuracy,s1s2_producer_accuracy,delta_producer_accuracy,s2_f1,s1s2_f1,delta_f1,s2_support,s1s2_support
Winter wheat,0.7395348837209302,0.8258706467661692,0.08633576304523893,0.7571428571428571,0.7904761904761904,0.033333333333333326,0.7482352941176471,0.8077858880778589,0.059550593960211784,210.0,210.0
Winter barley,0.7636363636363637,0.7926267281105991,0.02899036447423542,0.7636363636363637,0.7818181818181819,0.018181818181818188,0.7636363636363637,0.7871853546910755,0.023548991054711865,220.0,220.0
Spring barley,0.7428571428571429,0.8370044052863436,0.09414726242920068,0.8235294117647058,0.8597285067873304,0.03619909502262453,0.7811158798283262,0.8482142857142857,0.0670984058859595,221.0,221.0
Beet (sugar beet / fodder beet),0.815,0.8425925925925926,0.027592592592592613,0.7309417040358744,0.8161434977578476,0.08520179372197312,0.7706855791962175,0.8291571753986332,0.05847159620241571,223.0,223.0
Maize,0.5697674418604651,0.6933333333333334,0.12356589147286823,0.6774193548387096,0.7188940092165899,0.04147465437788023,0.6189473684210526,0.7058823529411765,0.08693498452012394,217.0,217.0
Oilseed rape,0.8461538461538461,0.8952380952380953,0.04908424908424913,0.7971014492753623,0.9082125603864736,0.11111111111111127,0.8208955223880597,0.9016786570743404,0.08078313468628062,207.0,207.0
Potatoes,0.7421052631578947,0.8048780487804879,0.06277278562259314,0.6619718309859155,0.7746478873239436,0.11267605633802813,0.6997518610421837,0.7894736842105263,0.08972182316834265,213.0,213.0
Pulses / field beans and peas,0.55,0.6486486486486487,0.09864864864864864,0.5188679245283019,0.6792452830188679,0.160377358490566,0.5339805825242718,0.663594470046083,0.12961388752181113,212.0,212.0
