feature,importance
summer_peak_VV,0.0660504339054247
summer_peak_VH,0.05365979715186251
spring_growth_VH,0.04333798082482253
spring_growth_VV,0.02748126129651414
spring_growth_LSWI,0.02358241553827807
spring_growth_EVI,0.02203273251222962
summer_peak_B6,0.021424955923661247
late_season_VH,0.021323729280445985
late_season_LSWI,0.02122373210658319
spring_growth_B6,0.020215722227337817
summer_peak_B5,0.01973923849526362
spring_growth_B7,0.019311249579604117
summer_peak_LSWI,0.0192548206553133
spring_growth_NDVI,0.018952850565136948
spring_growth_NDRE,0.018579071502087718
spring_growth_VV_minus_VH,0.018195937171470403
spring_growth_VV_div_VH,0.017844146021727045
spring_growth_B8A,0.01762337376991966
summer_peak_B7,0.016713104615675312
summer_peak_B8A,0.016371432727683065
summer_peak_EVI,0.01600049725372936
spring_growth_B12,0.01528108222621631
late_season_NDVI,0.01495471705694593
late_season_NDRE,0.014872674707791777
spring_growth_B8,0.01487166700234804
summer_peak_B4,0.014245438267557742
summer_peak_B8,0.014033800907265675
summer_peak_NDRE,0.013961403290294501
summer_peak_VV_minus_VH,0.013661683444096049
late_season_EVI,0.013647699127415014
summer_peak_B3,0.013362605915450685
summer_peak_VV_div_VH,0.013214859779008784
summer_peak_B11,0.01289950706809074
winter_establishment_VH,0.012602485019312137
summer_peak_B12,0.0123933763314102
summer_peak_NDVI,0.011577448897881362
winter_establishment_LSWI,0.01130950618046844
spring_growth_B4,0.01119812391979597
spring_growth_B2,0.009950245200506806
spring_growth_B3,0.009834118923314282
spring_growth_B11,0.009816620752463305
late_season_VV,0.009594445566282209
late_season_VV_minus_VH,0.009150585159424131
summer_peak_B2,0.009143073034978275
winter_establishment_NDRE,0.009038104197694515
late_season_VV_div_VH,0.008584273111162053
spring_growth_B5,0.008545565012728134
winter_establishment_VV_minus_VH,0.008091857681865615
winter_establishment_VV_div_VH,0.008027374683416967
winter_establishment_B12,0.00801155645578652
winter_establishment_B6,0.007806553308561878
winter_establishment_B8,0.007757975344595508
winter_establishment_VV,0.007669841466168302
winter_establishment_B7,0.007561437975223244
winter_establishment_B8A,0.007513432089943263
winter_establishment_B3,0.007211751969632453
late_season_B7,0.007162739713204835
winter_establishment_NDVI,0.007144423240363583
late_season_B12,0.007087086943410133
winter_establishment_EVI,0.007011443164867975
late_season_B8,0.006574363605012753
winter_establishment_B11,0.006391651356587392
late_season_B8A,0.006278628918853578
late_season_B6,0.006274295737370037
late_season_B11,0.0061505481546747015
late_season_B4,0.006074272575912488
winter_establishment_B2,0.005869836197457707
winter_establishment_B5,0.005858757460544436
late_season_B2,0.005686827830842265
winter_establishment_B4,0.0054832677509037255
late_season_B3,0.005441032986402091
late_season_B5,0.005195450163725238
