,user_accuracy,producer_accuracy,f1-score,support
Winter wheat,0.8258706467661692,0.7904761904761904,0.8077858880778589,210.0
Winter barley,0.7926267281105991,0.7818181818181819,0.7871853546910755,220.0
Spring barley,0.8370044052863436,0.8597285067873304,0.8482142857142857,221.0
Beet (sugar beet / fodder beet),0.8425925925925926,0.8161434977578476,0.8291571753986332,223.0
Maize,0.6933333333333334,0.7188940092165899,0.7058823529411765,217.0
Oilseed rape,0.8952380952380953,0.9082125603864735,0.9016786570743405,207.0
Potatoes,0.8048780487804879,0.7746478873239436,0.7894736842105263,213.0
Pulses / field beans and peas,0.6486486486486487,0.6792452830188679,0.663594470046083,212.0
