,Winter wheat,Winter barley,Spring barley,Beet (sugar beet / fodder beet),Maize,Oilseed rape,Potatoes,Pulses / field beans and peas
Winter wheat,166,19,9,0,4,4,0,8
Winter barley,24,172,8,1,5,6,0,4
Spring barley,7,4,190,0,13,0,0,7
Beet (sugar beet / fodder beet),1,0,1,182,16,0,18,5
Maize,0,6,7,5,156,5,10,28
Oilseed rape,0,6,3,1,0,188,0,9
Potatoes,0,1,1,18,9,2,165,17
Pulses / field beans and peas,3,9,8,9,22,5,12,144
