,user_accuracy,producer_accuracy,f1-score,support
Winter wheat,0.7395348837209302,0.7571428571428571,0.7482352941176471,210.0
Winter barley,0.7636363636363637,0.7636363636363637,0.7636363636363637,220.0
Spring barley,0.7428571428571429,0.8235294117647058,0.7811158798283262,221.0
Beet (sugar beet / fodder beet),0.815,0.7309417040358744,0.7706855791962175,223.0
Maize,0.5697674418604651,0.6774193548387096,0.6189473684210526,217.0
Oilseed rape,0.8461538461538461,0.7971014492753623,0.8208955223880597,207.0
Potatoes,0.7421052631578947,0.6619718309859155,0.6997518610421837,213.0
Pulses / field beans and peas,0.55,0.5188679245283019,0.5339805825242718,212.0
