cluster_id,prop_winter_wheat,prop_winter_barley,prop_spring_barley,prop_beet_sugar_beet___fodder_beet,prop_maize,prop_oilseed_rape,prop_potatoes,prop_pulses___field_beans_and_peas,zone_profile_summary,grid_cells,selected_crop_area_ha,mean_selected_crop_intensity
1,0.35923399619101426,0.17245414236626835,0.11639038159435298,0.11285815948393338,0.05080052287239195,0.07846774504161298,0.05103695020447383,0.05875810224595225,winter wheat 36%; winter barley 17%; spring barley 12%,43,176982.01085800095,0.463444334695771
2,0.18581760120059676,0.25576698037961676,0.15769089811198833,0.14610189901230153,0.06430924947060052,0.04670409093780055,0.0902753282428933,0.05333395264420222,winter barley 26%; winter wheat 19%; spring barley 16%,20,59741.37422543562,0.34925116345281865
3,0.5027258758945204,0.08073216901726374,0.06332877408369436,0.11638488361675091,0.06236518229990071,0.03943246541999622,0.07206865052342848,0.06296199914444506,winter wheat 50%; beet sugar beet   fodder beet 12%; winter barley 8%,28,141801.55211908644,0.567480199067545
4,0.5416184984617278,0.12052800314069131,0.09142648662913845,0.043735743411527986,0.013910575791802778,0.09435699035891253,0.00956129820571458,0.08486240400048453,winter wheat 54%; winter barley 12%; oilseed rape 9%,53,267588.61945344444,0.5773676801506751
