run,chosen_k,silhouette_for_k,zones,min_zone_test_samples,max_zone_test_samples,mean_sar_reduction,min_sar_reduction,max_sar_reduction,sar_reduction_range,mean_crome_ukceh_disagreement,min_crome_ukceh_disagreement,max_crome_ukceh_disagreement
k2_auto,2,0.41218257772460937,2,688,1029,0.07302543110267364,0.07122093023255816,0.07482993197278912,0.0036090017402309604,0.11604540431113727,0.1096045197740113,0.12248628884826325
k3_forced,3,0.31163486214100417,3,255,901,0.07402325138174196,0.06770255271920086,0.08377896613190733,0.016076413412706464,0.11553606631326839,0.11139896373056994,0.11904761904761904
k4_forced,4,0.26092464069872306,4,255,575,0.07411566351523272,0.06086956521739134,0.08356545961002787,0.02269589439263653,0.11756226077073736,0.09467455621301775,0.1384083044982699
