feature,importance
summer_peak_B6,0.03641928780824035
spring_growth_LSWI,0.033112863138634825
late_season_LSWI,0.03004820047471663
summer_peak_B5,0.02928704643060256
summer_peak_LSWI,0.026526601036744455
summer_peak_EVI,0.02649132331399841
summer_peak_B7,0.02596360269167616
spring_growth_B6,0.02498681557710897
spring_growth_EVI,0.02484644112564257
spring_growth_B7,0.02410216015952027
summer_peak_B4,0.024097792633554584
summer_peak_B8A,0.02387266075400934
spring_growth_B2,0.02314660857771781
spring_growth_NDVI,0.023027897923209726
spring_growth_NDRE,0.023008844046272754
winter_establishment_LSWI,0.022171103187817336
summer_peak_B8,0.022057887922070356
spring_growth_B12,0.021835997915252234
late_season_NDRE,0.02162011398087677
summer_peak_NDRE,0.0215775122587077
spring_growth_B8A,0.02097704429375168
late_season_NDVI,0.02067693038098397
summer_peak_B11,0.020281295241774456
spring_growth_B4,0.020126105966493134
summer_peak_B12,0.018891303973861264
summer_peak_B3,0.01862697968364869
spring_growth_B11,0.018448896118143775
summer_peak_NDVI,0.018168902204390047
late_season_EVI,0.017900543308858215
spring_growth_B8,0.017697613040073057
winter_establishment_NDRE,0.016955756034848297
spring_growth_B3,0.01631322846381695
winter_establishment_B12,0.016023087814282067
spring_growth_B5,0.014234114982905478
summer_peak_B2,0.013903067255052063
winter_establishment_B8A,0.013474153560172245
winter_establishment_B8,0.013226483908183794
winter_establishment_B6,0.012433362366839664
winter_establishment_NDVI,0.012347095659800229
winter_establishment_B7,0.01226329228509797
winter_establishment_EVI,0.012123889630225707
winter_establishment_B3,0.01181625812543615
winter_establishment_B11,0.011110569087799047
late_season_B12,0.010687947424157422
late_season_B7,0.010265059996297227
late_season_B8,0.01003087922790188
late_season_B11,0.009989405836232031
late_season_B8A,0.009942718955141702
late_season_B6,0.009657067565400336
late_season_B4,0.009498040760056833
late_season_B2,0.009351528874140803
winter_establishment_B4,0.009236805261428931
winter_establishment_B5,0.008991679340661852
winter_establishment_B2,0.008941690406972371
late_season_B3,0.008713723186961465
late_season_B5,0.00847271882183539
