system:index,analysis_class,class_id,late_season_B11,late_season_B12,late_season_B2,late_season_B3,late_season_B4,late_season_B5,late_season_B6,late_season_B7,late_season_B8,late_season_B8A,late_season_EVI,late_season_LSWI,late_season_NDRE,late_season_NDVI,sample_uid,spring_growth_B11,spring_growth_B12,spring_growth_B2,spring_growth_B3,spring_growth_B4,spring_growth_B5,spring_growth_B6,spring_growth_B7,spring_growth_B8,spring_growth_B8A,spring_growth_EVI,spring_growth_LSWI,spring_growth_NDRE,spring_growth_NDVI,summer_peak_B11,summer_peak_B12,summer_peak_B2,summer_peak_B3,summer_peak_B4,summer_peak_B5,summer_peak_B6,summer_peak_B7,summer_peak_B8,summer_peak_B8A,summer_peak_EVI,summer_peak_LSWI,summer_peak_NDRE,summer_peak_NDVI,winter_establishment_B11,winter_establishment_B12,winter_establishment_B2,winter_establishment_B3,winter_establishment_B4,winter_establishment_B5,winter_establishment_B6,winter_establishment_B7,winter_establishment_B8,winter_establishment_B8A,winter_establishment_EVI,winter_establishment_LSWI,winter_establishment_NDRE,winter_establishment_NDVI,.geo
6613_0,Winter barley,2,0.2767,0.18495,0.1589,0.1785,0.1793,0.2045,0.32235,0.3537,0.3738,0.37645,0.3928252981247755,0.16773164,0.2871906,0.3739012,Crop_Map_of_England_2022_Norfolk_refined_933753,0.2207,0.1249,0.0454,0.08485,0.060850002,0.1402,0.3202,0.4028,0.4204,0.43325,0.6575810484446372,0.30746403,0.45925564,0.702279,0.4057,0.27605,0.1243,0.1673,0.2338,0.2591,0.28865,0.32255,0.35500002,0.36275,0.16644554475983914,0.011788884,0.17533304,0.1907334,0.2193,0.1286,0.0437,0.0858,0.0736,0.1547,0.2771,0.32,0.321,0.3357,0.43337925512003667,0.17003566,0.37407923,0.62581223,"{""type"":""MultiPoint"",""coordinates"":[]}"
6614_0,Winter barley,2,0.27265,0.1754,0.1011,0.11995,0.1593,0.1755,0.20995,0.23385,0.2541,0.26625,0.15496617022993003,-0.025011107,0.19148031,0.22729072,Crop_Map_of_England_2022_Suffolk_refined_854337,0.15945,0.0802,0.02805,0.0466,0.0297,0.08615,0.26015,0.3486,0.3926,0.3795,0.6489350257232842,0.38982475,0.6117364,0.8567595,0.394,0.245,0.0916,0.1328,0.2076,0.239,0.3014,0.3356,0.354,0.3872,0.1878689099295785,-0.009736979,0.23979735,0.23644134,0.1448,0.0768,0.0245,0.0573,0.0262,0.0963,0.2229,0.2606,0.3034,0.2815,0.5448841185170475,0.34238604,0.5,0.83697045,"{""type"":""MultiPoint"",""coordinates"":[]}"
6615_0,Winter barley,2,0.26025,0.18925,0.0968,0.125,0.1677,0.1593,0.201,0.22695,0.24849999,0.25545,0.13218039146435406,-0.023078145,0.2327757,0.194503,Crop_Map_of_England_2022_Suffolk_refined_852271,0.22155,0.1348,0.03995,0.0745,0.049149998,0.12155,0.2933,0.3653,0.42339998,0.3877,0.6259422723656589,0.28883022,0.49449414,0.7800122,0.34905,0.24445,0.1049,0.1535,0.2283,0.213,0.2795,0.3201,0.38700002,0.37285,0.1732032849239014,0.03729253,0.24440865,0.22049648,0.1888,0.11325,0.0465,0.0884,0.066,0.12775,0.24425,0.27555,0.2967,0.295,0.4044634463125662,0.22584775,0.40167046,0.65612215,"{""type"":""MultiPoint"",""coordinates"":[]}"
6616_0,Winter barley,2,0.23925,0.1608,0.0824,0.1069,0.13010001,0.1628,0.19015,0.2038,0.2152,0.2261,0.15441478205664902,-0.05294024,0.16280882,0.24650139,Crop_Map_of_England_2022_Norfolk_refined_441140,0.2135,0.1249,0.047,0.088,0.056,0.1358,0.299,0.3605,0.3968,0.3787,0.6125887718263682,0.26875743,0.43394792,0.7403509,0.3891,0.2768,0.1177,0.161,0.2273,0.26595,0.3124,0.3445,0.3626,0.3845,0.14826979118198552,-0.061238274,0.16044603,0.19353846,0.1836,0.11515,0.0462,0.083,0.0597,0.13875,0.2447,0.264,0.27899998,0.27475,0.4093920275723378,0.15063235,0.29680496,0.5946302,"{""type"":""MultiPoint"",""coordinates"":[]}"
6617_0,Winter barley,2,0.17795,0.11785,0.07535,0.0917,0.1103,0.1262,0.13895,0.1531,0.1648,0.1663,0.10606374546563523,0.026032051,0.1350354,0.22060326,Crop_Map_of_England_2022_Cambridgeshire_refined_129216,0.1597,0.0787,0.0304,0.0622,0.043250002,0.1118,0.3118,0.37125,0.3804,0.3847,0.5972117203102665,0.40932494,0.5499915,0.79575837,0.15825,0.10505,0.06005,0.081,0.10355,0.15155,0.2019,0.2261,0.2401,0.25175,0.2783681268850806,0.2210293,0.2390693,0.42827243,0.1937,0.09995,0.0253,0.0616,0.034199998,0.10575,0.3095,0.33685,0.3635,0.3302,0.6194785578162183,0.35626128,0.52230304,0.81603837,"{""type"":""MultiPoint"",""coordinates"":[]}"
6618_0,Winter barley,2,0.27745,0.19655,0.0842,0.1172,0.1111,0.16355,0.2489,0.26975,0.2903,0.28715,0.33794664951160014,0.014687965,0.27325973,0.44334438,Crop_Map_of_England_2022_Norfolk_refined_1086260,0.32015,0.29185,0.07725,0.1252,0.1596,0.1964,0.22395,0.23945,0.2514,0.24915,0.11280499673912771,-0.14012556,0.12600301,0.19917959,0.3345,0.2467,0.0929,0.1352,0.1804,0.2018,0.2859,0.3316,0.3324,0.3419,0.16706999990776883,0.013896029,0.16388533,0.22981751,0.15765,0.0926,0.03965,0.064,0.0558,0.11375,0.1887,0.2127,0.23300001,0.24585,0.3522163147502959,0.2006121,0.39958552,0.6530687,"{""type"":""MultiPoint"",""coordinates"":[]}"
6619_0,Winter barley,2,0.2,0.1218,0.0792,0.1108,0.0853,0.1574,0.3145,0.3253,0.3288,0.3376,0.4870233626928266,0.24216093,0.36054695,0.5868726,Crop_Map_of_England_2022_Cambridgeshire_refined_43927,0.1794,0.11,0.0507,0.0876,0.0621,0.1221,0.3271,0.4048,0.4368,0.4242,0.5205158708709183,0.23698415,0.44102457,0.6509412,0.2731,0.24275,0.0775,0.1221,0.1521,0.2024,0.28815,0.3178,0.327,0.3505,0.12292233253903445,-0.076122485,0.121945314,0.16113293,0.1602,0.1069,0.0413,0.062,0.0744,0.1093,0.1453,0.1644,0.1418,0.1786,0.14781935743470165,0.029790366,0.20196506,0.3479452,"{""type"":""MultiPoint"",""coordinates"":[]}"
6620_0,Winter barley,2,0.3511,0.2414,0.0862,0.119,0.1656,0.1965,0.2062,0.2258,0.2388,0.2592,0.10993487346871852,-0.19276316,0.13759051,0.17231226,Crop_Map_of_England_2022_Norfolk_refined_53861,0.1964,0.1088,0.03735,0.0759,0.069299996,0.1455,0.31055,0.3729,0.4026,0.3942,0.6618628521881604,0.41050023,0.5000007,0.6757701,0.3515,0.2387,0.0901,0.1242,0.17230001,0.2241,0.25235,0.2755,0.29500002,0.316,0.13925617765041504,-0.10988783,0.14681593,0.20011848,0.2096,0.1152,0.0536,0.0994,0.0695,0.1619,0.3135,0.348,0.3648,0.3672,0.5527638221926102,0.2799718,0.3939007,0.6705173,"{""type"":""MultiPoint"",""coordinates"":[]}"
6621_0,Winter barley,2,0.2321,0.1432,0.0698,0.0982,0.0991,0.1554,0.2727,0.3039,0.283,0.3176,0.3208566144970682,0.07805363,0.34291756,0.46504724,Crop_Map_of_England_2022_Norfolk_refined_1097176,0.22085,0.1456,0.05295,0.08505,0.06835,0.13625,0.26725,0.30415,0.3414,0.32555,0.49425646851658556,0.22720191,0.390844,0.66917527,0.2066,0.1334,0.0644,0.0927,0.1024,0.1502,0.2695,0.3128,0.3304,0.3446,0.29458926382118306,0.119974986,0.32793835,0.3886734,0.1817,0.1246,0.0492,0.0665,0.0815,0.1124,0.1658,0.1858,0.225,0.2084,0.2675049073758399,0.12511937,0.25157592,0.43773714,"{""type"":""MultiPoint"",""coordinates"":[]}"
6622_0,Winter barley,2,0.133,0.1024,0.04055,0.0597,0.075399995,0.09505,0.1048,0.1152,0.09405,0.127,0.03750702951805325,-0.1698634,0.1453146,0.11005869,Crop_Map_of_England_2022_Norfolk_refined_547431,0.32255,0.265,0.1048,0.1551,0.16080001,0.22155,0.2955,0.31095,0.3256,0.3255,0.2024453503577342,-0.038407236,0.12847058,0.2666375,0.45995,0.3234,0.1398,0.1797,0.2437,0.27755,0.2971,0.3589,0.379,0.3888,0.20325467615675405,-0.014515442,0.15165466,0.20416045,0.1674,0.1281,0.0549,0.0788,0.1064,0.1384,0.1519,0.1588,0.1606,0.1622,0.1049124600477776,-0.012300103,0.104982205,0.21154912,"{""type"":""MultiPoint"",""coordinates"":[]}"
