class,mean_f1_delta,min_f1_delta,max_f1_delta,settings_with_positive_f1_delta,settings_tested
Pulses / field beans and peas,0.1445631153106884,0.1075297534594134,0.17181420026244187,36,36
Potatoes,0.1027465510732517,0.08421052631578951,0.12810173697270477,36,36
Oilseed rape,0.08187122363191292,0.06848082896583152,0.09753970358584518,36,36
Spring barley,0.08104804346726568,0.0670984058859595,0.10024837374334716,36,36
Maize,0.07023181732210818,0.0590408408641353,0.08693498452012394,36,36
Winter wheat,0.06412517462893894,0.042518425810040394,0.07633976571784284,36,36
Beet (sugar beet / fodder beet),0.05801786420348771,0.042768106597893873,0.07493212669683258,36,36
Winter barley,0.04406443753859183,0.012935610550510734,0.06620054028285394,36,36
