class,user_accuracy,producer_accuracy,f1_score,support,setting_id,n_estimators,max_features,min_samples_leaf,class_weight,model,reference_note
Maize,0.6771300448430493,0.695852534562212,0.6863636363636364,217.0,rf_10,300,log2,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8904761904761904,0.9033816425120773,0.8968824940047961,207.0,rf_10,300,log2,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.8097560975609757,0.7793427230046949,0.7942583732057417,213.0,rf_10,300,log2,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.6434782608695652,0.6981132075471698,0.669683257918552,212.0,rf_10,300,log2,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7104072398190046,0.7476190476190476,0.728538283062645,210.0,rf_11,300,log2,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7330316742081447,0.7363636363636363,0.7346938775510204,220.0,rf_11,300,log2,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.7142857142857143,0.8144796380090498,0.7610993657505285,221.0,rf_11,300,log2,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8009950248756219,0.7219730941704036,0.7594339622641509,223.0,rf_11,300,log2,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5736434108527132,0.6820276497695853,0.6231578947368421,217.0,rf_11,300,log2,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8571428571428571,0.782608695652174,0.8181818181818182,207.0,rf_11,300,log2,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7210526315789474,0.6431924882629108,0.6799007444168734,213.0,rf_11,300,log2,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5445026178010471,0.49056603773584906,0.5161290322580645,212.0,rf_11,300,log2,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.825,0.7857142857142857,0.8048780487804879,210.0,rf_11,300,log2,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7972350230414746,0.7863636363636364,0.7917620137299771,220.0,rf_11,300,log2,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8454545454545455,0.8416289592760181,0.8435374149659864,221.0,rf_11,300,log2,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8433179723502304,0.820627802690583,0.8318181818181818,223.0,rf_11,300,log2,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6832579185520362,0.695852534562212,0.6894977168949772,217.0,rf_11,300,log2,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8820754716981132,0.9033816425120773,0.8926014319809069,207.0,rf_11,300,log2,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7980295566502463,0.7605633802816901,0.7788461538461539,213.0,rf_11,300,log2,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.6223175965665236,0.6839622641509434,0.651685393258427,212.0,rf_11,300,log2,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.706140350877193,0.7666666666666667,0.7351598173515982,210.0,rf_12,300,log2,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7464788732394366,0.7227272727272728,0.7344110854503464,220.0,rf_12,300,log2,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.7,0.8235294117647058,0.7567567567567568,221.0,rf_12,300,log2,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8090452261306532,0.7219730941704036,0.7630331753554502,223.0,rf_12,300,log2,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.555984555984556,0.663594470046083,0.6050420168067226,217.0,rf_12,300,log2,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8518518518518519,0.7777777777777778,0.8131313131313131,207.0,rf_12,300,log2,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7258064516129032,0.6338028169014085,0.6766917293233082,213.0,rf_12,300,log2,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5185185185185185,0.46226415094339623,0.48877805486284287,212.0,rf_12,300,log2,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8307692307692308,0.7714285714285715,0.8,210.0,rf_12,300,log2,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7853881278538812,0.7818181818181819,0.7835990888382688,220.0,rf_12,300,log2,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.827433628318584,0.8461538461538461,0.8366890380313199,221.0,rf_12,300,log2,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8387096774193549,0.8161434977578476,0.8272727272727273,223.0,rf_12,300,log2,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6771300448430493,0.695852534562212,0.6863636363636364,217.0,rf_12,300,log2,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8826291079812206,0.9082125603864735,0.8952380952380953,207.0,rf_12,300,log2,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.8078817733990148,0.7699530516431925,0.7884615384615384,213.0,rf_12,300,log2,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.6387665198237885,0.6839622641509434,0.6605922551252847,212.0,rf_12,300,log2,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7293577981651376,0.7571428571428571,0.7429906542056075,210.0,rf_13,500,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7592592592592593,0.7454545454545455,0.7522935779816514,220.0,rf_13,500,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.7306122448979592,0.8099547511312217,0.7682403433476395,221.0,rf_13,500,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8177339901477833,0.7443946188340808,0.7793427230046949,223.0,rf_13,500,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5735849056603773,0.7004608294930875,0.6307053941908713,217.0,rf_13,500,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.844559585492228,0.7874396135265701,0.815,207.0,rf_13,500,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.745945945945946,0.647887323943662,0.6934673366834171,213.0,rf_13,500,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5454545454545454,0.5094339622641509,0.526829268292683,212.0,rf_13,500,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8375634517766497,0.7857142857142857,0.8108108108108109,210.0,rf_13,500,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.8018433179723502,0.7909090909090909,0.7963386727688787,220.0,rf_13,500,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8281938325991189,0.8506787330316742,0.8392857142857143,221.0,rf_13,500,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8310502283105022,0.8161434977578476,0.8235294117647058,223.0,rf_13,500,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6782608695652174,0.7188940092165899,0.697986577181208,217.0,rf_13,500,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8915094339622641,0.9130434782608695,0.9021479713603818,207.0,rf_13,500,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.8059701492537313,0.7605633802816901,0.782608695652174,213.0,rf_13,500,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.65,0.6745283018867925,0.6620370370370371,212.0,rf_13,500,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7395348837209302,0.7571428571428571,0.7482352941176471,210.0,rf_14,500,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7636363636363637,0.7636363636363637,0.7636363636363637,220.0,rf_14,500,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.7428571428571429,0.8235294117647058,0.7811158798283262,221.0,rf_14,500,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.815,0.7309417040358744,0.7706855791962175,223.0,rf_14,500,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5697674418604651,0.6774193548387096,0.6189473684210526,217.0,rf_14,500,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8461538461538461,0.7971014492753623,0.8208955223880597,207.0,rf_14,500,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7421052631578947,0.6619718309859155,0.6997518610421837,213.0,rf_14,500,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.55,0.5188679245283019,0.5339805825242718,212.0,rf_14,500,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8258706467661692,0.7904761904761904,0.8077858880778589,210.0,rf_14,500,sqrt,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7926267281105991,0.7818181818181819,0.7871853546910755,220.0,rf_14,500,sqrt,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8370044052863436,0.8597285067873304,0.8482142857142857,221.0,rf_14,500,sqrt,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8425925925925926,0.8161434977578476,0.8291571753986332,223.0,rf_14,500,sqrt,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6933333333333334,0.7188940092165899,0.7058823529411765,217.0,rf_14,500,sqrt,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8952380952380953,0.9082125603864735,0.9016786570743405,207.0,rf_14,500,sqrt,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.8048780487804879,0.7746478873239436,0.7894736842105263,213.0,rf_14,500,sqrt,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.6486486486486487,0.6792452830188679,0.663594470046083,212.0,rf_14,500,sqrt,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7314814814814815,0.7523809523809524,0.7417840375586855,210.0,rf_15,500,sqrt,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7454545454545455,0.7454545454545455,0.7454545454545455,220.0,rf_15,500,sqrt,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.7137254901960784,0.8235294117647058,0.7647058823529411,221.0,rf_15,500,sqrt,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8078817733990148,0.7354260089686099,0.7699530516431925,223.0,rf_15,500,sqrt,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5764705882352941,0.6774193548387096,0.6228813559322034,217.0,rf_15,500,sqrt,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8393782383419689,0.782608695652174,0.81,207.0,rf_15,500,sqrt,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7315789473684211,0.6525821596244131,0.6898263027295285,213.0,rf_15,500,sqrt,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5392670157068062,0.4858490566037736,0.511166253101737,212.0,rf_15,500,sqrt,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8333333333333334,0.7857142857142857,0.8088235294117647,210.0,rf_15,500,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7981651376146789,0.7909090909090909,0.7945205479452054,220.0,rf_15,500,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8378378378378378,0.8416289592760181,0.8397291196388262,221.0,rf_15,500,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8418604651162791,0.8116591928251121,0.8264840182648402,223.0,rf_15,500,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6772727272727272,0.6866359447004609,0.6819221967963387,217.0,rf_15,500,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8867924528301887,0.9082125603864735,0.8973747016706444,207.0,rf_15,500,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7904761904761904,0.7793427230046949,0.7848699763593381,213.0,rf_15,500,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.631578947368421,0.6792452830188679,0.6545454545454545,212.0,rf_15,500,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7181818181818181,0.7523809523809524,0.7348837209302326,210.0,rf_16,500,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7351598173515982,0.7318181818181818,0.7334851936218679,220.0,rf_16,500,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.7047244094488189,0.8099547511312217,0.7536842105263157,221.0,rf_16,500,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8159203980099502,0.7354260089686099,0.7735849056603774,223.0,rf_16,500,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5687022900763359,0.6866359447004609,0.6221294363256785,217.0,rf_16,500,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8350515463917526,0.782608695652174,0.8079800498753117,207.0,rf_16,500,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7513513513513513,0.6525821596244131,0.6984924623115578,213.0,rf_16,500,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5478723404255319,0.4858490566037736,0.515,212.0,rf_16,500,sqrt,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8282828282828283,0.780952380952381,0.803921568627451,210.0,rf_16,500,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7935779816513762,0.7863636363636364,0.7899543378995434,220.0,rf_16,500,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8482142857142857,0.8597285067873304,0.8539325842696629,221.0,rf_16,500,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8294930875576036,0.8071748878923767,0.8181818181818182,223.0,rf_16,500,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6771300448430493,0.695852534562212,0.6863636363636364,217.0,rf_16,500,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8826291079812206,0.9082125603864735,0.8952380952380953,207.0,rf_16,500,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7904761904761904,0.7793427230046949,0.7848699763593381,213.0,rf_16,500,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.65,0.6745283018867925,0.6620370370370371,212.0,rf_16,500,sqrt,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7194570135746606,0.7571428571428571,0.7378190255220418,210.0,rf_17,500,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7477064220183486,0.740909090909091,0.7442922374429224,220.0,rf_17,500,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.6923076923076923,0.8144796380090498,0.7484407484407485,221.0,rf_17,500,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8190954773869347,0.7309417040358744,0.7725118483412322,223.0,rf_17,500,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5543071161048689,0.6820276497695853,0.6115702479338843,217.0,rf_17,500,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8341968911917098,0.7777777777777778,0.805,207.0,rf_17,500,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7445652173913043,0.6431924882629108,0.690176322418136,213.0,rf_17,500,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5303867403314917,0.4528301886792453,0.48854961832061067,212.0,rf_17,500,sqrt,5,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8241206030150754,0.780952380952381,0.8019559902200489,210.0,rf_17,500,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7837837837837838,0.7909090909090909,0.7873303167420814,220.0,rf_17,500,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8447488584474886,0.8371040723981901,0.8409090909090909,221.0,rf_17,500,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8387096774193549,0.8161434977578476,0.8272727272727273,223.0,rf_17,500,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6622222222222223,0.6866359447004609,0.6742081447963801,217.0,rf_17,500,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8873239436619719,0.9130434782608695,0.9,207.0,rf_17,500,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7961165048543689,0.7699530516431925,0.7828162291169452,213.0,rf_17,500,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.6441441441441441,0.6745283018867925,0.6589861751152074,212.0,rf_17,500,sqrt,5,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7053571428571429,0.7523809523809524,0.728110599078341,210.0,rf_18,500,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7385321100917431,0.7318181818181818,0.7351598173515982,220.0,rf_18,500,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.70703125,0.8190045248868778,0.7589098532494759,221.0,rf_18,500,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8109452736318408,0.7309417040358744,0.7688679245283019,223.0,rf_18,500,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5675675675675675,0.6774193548387096,0.6176470588235294,217.0,rf_18,500,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8489583333333334,0.7874396135265701,0.8170426065162907,207.0,rf_18,500,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7307692307692307,0.6244131455399061,0.6734177215189874,213.0,rf_18,500,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5340314136125655,0.4811320754716981,0.5062034739454094,212.0,rf_18,500,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8232323232323232,0.7761904761904762,0.7990196078431373,210.0,rf_18,500,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7863636363636364,0.7863636363636364,0.7863636363636364,220.0,rf_18,500,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8371040723981901,0.8371040723981901,0.8371040723981901,221.0,rf_18,500,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8497652582159625,0.8116591928251121,0.8302752293577982,223.0,rf_18,500,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6711111111111111,0.695852534562212,0.6832579185520362,217.0,rf_18,500,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.883177570093458,0.9130434782608695,0.8978622327790974,207.0,rf_18,500,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.8078817733990148,0.7699530516431925,0.7884615384615384,213.0,rf_18,500,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.62882096069869,0.6792452830188679,0.6530612244897959,212.0,rf_18,500,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7149321266968326,0.7523809523809524,0.7331786542923434,210.0,rf_19,500,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7641509433962265,0.7363636363636363,0.75,220.0,rf_19,500,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.716,0.8099547511312217,0.7600849256900213,221.0,rf_19,500,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8,0.7354260089686099,0.7663551401869159,223.0,rf_19,500,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.582995951417004,0.663594470046083,0.6206896551724138,217.0,rf_19,500,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8631578947368421,0.7922705314009661,0.8261964735516373,207.0,rf_19,500,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7391304347826086,0.6384976525821596,0.6851385390428212,213.0,rf_19,500,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5233644859813084,0.5283018867924528,0.5258215962441315,212.0,rf_19,500,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8333333333333334,0.7857142857142857,0.8088235294117647,210.0,rf_19,500,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.8,0.7818181818181819,0.7908045977011494,220.0,rf_19,500,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8245614035087719,0.8506787330316742,0.8374164810690423,221.0,rf_19,500,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8363636363636363,0.8251121076233184,0.8306997742663657,223.0,rf_19,500,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6637554585152838,0.7004608294930875,0.6816143497757847,217.0,rf_19,500,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8909952606635071,0.9082125603864735,0.8995215311004785,207.0,rf_19,500,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.8159203980099502,0.7699530516431925,0.7922705314009661,213.0,rf_19,500,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.6425339366515838,0.6698113207547169,0.6558891454965358,212.0,rf_19,500,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7385321100917431,0.7666666666666667,0.7523364485981309,210.0,rf_20,500,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7625570776255708,0.759090909090909,0.7608200455580866,220.0,rf_20,500,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.7258064516129032,0.8144796380090498,0.767590618336887,221.0,rf_20,500,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.803921568627451,0.7354260089686099,0.7681498829039812,223.0,rf_20,500,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5789473684210527,0.6589861751152074,0.6163793103448276,217.0,rf_20,500,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8481675392670157,0.782608695652174,0.8140703517587939,207.0,rf_20,500,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7263157894736842,0.647887323943662,0.684863523573201,213.0,rf_20,500,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5485436893203883,0.5330188679245284,0.5406698564593302,212.0,rf_20,500,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8223350253807107,0.7714285714285715,0.7960687960687961,210.0,rf_20,500,log2,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7702702702702703,0.7772727272727272,0.7737556561085973,220.0,rf_20,500,log2,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8209606986899564,0.8506787330316742,0.8355555555555556,221.0,rf_20,500,log2,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8356164383561644,0.820627802690583,0.8280542986425339,223.0,rf_20,500,log2,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
