class,user_accuracy,producer_accuracy,f1_score,support,setting_id,n_estimators,max_features,min_samples_leaf,class_weight,model,reference_note
Beet (sugar beet / fodder beet),0.8232323232323232,0.7309417040358744,0.7743467933491687,223.0,rf_03,300,sqrt,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.582995951417004,0.663594470046083,0.6206896551724138,217.0,rf_03,300,sqrt,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8418367346938775,0.7971014492753623,0.8188585607940446,207.0,rf_03,300,sqrt,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7202072538860104,0.6525821596244131,0.6847290640394089,213.0,rf_03,300,sqrt,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5416666666666666,0.49056603773584906,0.5148514851485149,212.0,rf_03,300,sqrt,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8316326530612245,0.7761904761904762,0.8029556650246306,210.0,rf_03,300,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.8046511627906977,0.7863636363636364,0.7954022988505747,220.0,rf_03,300,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8348214285714286,0.8461538461538461,0.8404494382022472,221.0,rf_03,300,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8294930875576036,0.8071748878923767,0.8181818181818182,223.0,rf_03,300,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6785714285714286,0.7004608294930875,0.6893424036281179,217.0,rf_03,300,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8857142857142857,0.8985507246376812,0.8920863309352518,207.0,rf_03,300,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7874396135265701,0.7652582159624414,0.7761904761904762,213.0,rf_03,300,sqrt,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
