grid_id,grid_area_ha,selected_crop_area_ha,selected_crop_intensity,retained_for_clustering,prop_winter_wheat,prop_winter_barley,prop_spring_barley,prop_beet_sugar_beet___fodder_beet,prop_maize,prop_oilseed_rape,prop_potatoes,prop_pulses___field_beans_and_peas
g0004,1145.437582555047,591.3181261125885,0.5162377550015225,True,0.5880364520740049,0.12648537001806903,0.0,0.0,0.0,0.11090866761744997,0.0038067021533578628,0.1707628081371182
g0005,5499.440293511151,3770.6451183233166,0.6856416138879335,True,0.5247247392789747,0.1469022839931163,0.09632290003548294,0.0,0.0,0.0735107774803563,0.006482274966728845,0.15205702424534095
g0006,248.8802331916593,147.10538869253577,0.5910689925272286,False,0.7949292700440901,0.0,0.04162444300435537,0.0,0.0,0.09948336927723912,0.0,0.06396291767431532
g0007,2175.1778037964555,914.4607086508187,0.4204073373012362,True,0.4108962495877117,0.08032931693722255,0.11375669890482688,0.04570477385861795,0.012703348293690506,0.15298032116642601,0.019265095974904497,0.16436419527659993
g0008,5036.928746195714,2357.737714344462,0.46809034495975577,True,0.4849991867819004,0.1406897221465994,0.08141066868253863,0.09430228073241806,0.004196488124819973,0.08493471670957921,0.022521402784203292,0.08694553403794093
g0015,892.1175428298613,159.65575988125326,0.17896269517894878,False,0.28533652194668496,0.13537155657948705,0.5384157851269037,0.0,0.0,0.0011092308921847862,0.0,0.03976690545473956
g0016,8692.86868313725,4501.556780580686,0.5178447926301905,True,0.6166766616950825,0.06793533713182268,0.08521625864053797,0.006089578564182305,0.009322932606787968,0.11603762625653594,0.009141267520774826,0.08958033758427586
g0017,10000.0,6900.219328642274,0.6900219328642274,True,0.5707089432057589,0.131647098635226,0.0988342370874269,0.0,0.006512182718063748,0.0851384325048768,0.0,0.1071591058486475
g0018,8702.599455213378,5396.908905312459,0.6201490638615325,True,0.6886998018437628,0.054963825462896014,0.10599793216520952,0.0036421526338907798,0.007220147791724543,0.06003750815472082,0.0034585130729161296,0.07598011887487945
g0019,9767.214265205008,2844.6243359520986,0.29124213503597096,True,0.5427137111343051,0.08882941045388813,0.1286713462460645,0.04061573147874804,0.03675553670645983,0.02579935848851546,0.04038628025310236,0.09622862523891659
g0020,8765.668668096037,4182.499691568029,0.4771455378858732,True,0.5047894120332725,0.09864745541970556,0.108834574408284,0.06726466061910821,0.008649974431778385,0.10403218408822872,0.04712414683076944,0.06065759216885318
g0025,297.3950955598039,206.26444010997432,0.693570415886351,False,0.4970859307437442,0.06139542871335496,0.1258786290913066,0.1238388675685318,0.012602090370377171,0.0,0.0,0.1791990535126852
g0026,3057.308102833063,2479.617657407716,0.8110460490095752,True,0.582791324218483,0.07367978947660173,0.10828433863016075,0.044432412411432,8.308399072016262e-05,0.09477989481968992,0.0,0.09594915645291248
g0027,8914.31010266768,5774.77889530983,0.6478099627229347,True,0.5313091329763394,0.15835776092825418,0.09783257302397973,0.0,0.017431668720284003,0.12531052457433006,0.0,0.06975833977681266
g0028,10000.0,6531.506588127936,0.6531506588127937,True,0.6143434313722702,0.07801284789954331,0.07493748765627062,0.0,0.010506174244200504,0.1573511658920836,0.0014672508610326725,0.06338164207459894
g0029,10000.0,4589.426142848564,0.45894261428485644,True,0.6015034663663679,0.10624441285870168,0.09293804198659111,0.0028335788046538538,0.00474096611166783,0.10109672444945729,0.005340482111303432,0.08530232731125689
