reference_class,n,s2_error_rate,s1s2_error_rate,fixed_by_s1,degraded_after_s1,persistent_disagreement,delta_error_rate_s1s2_minus_s2
Pulses / field beans and peas,212,0.4811320754716981,0.3207547169811321,40,6,62,-0.160377358490566
Maize,217,0.32258064516129037,0.28110599078341014,21,12,49,-0.04147465437788023
Potatoes,213,0.3380281690140845,0.22535211267605637,33,9,39,-0.11267605633802813
Winter barley,220,0.23636363636363633,0.21818181818181814,12,8,40,-0.018181818181818188
Winter wheat,210,0.24285714285714288,0.20952380952380956,9,2,42,-0.033333333333333326
Beet (sugar beet / fodder beet),223,0.26905829596412556,0.18385650224215244,21,2,39,-0.08520179372197312
Spring barley,221,0.17647058823529416,0.14027149321266963,12,4,27,-0.03619909502262453
Oilseed rape,207,0.2028985507246377,0.09178743961352653,25,2,17,-0.11111111111111116
