grid_id,grid_area_ha,area_winter_wheat_ha,area_winter_barley_ha,area_spring_barley_ha,area_beet_sugar_beet___fodder_beet_ha,area_maize_ha,area_oilseed_rape_ha,area_potatoes_ha,area_pulses___field_beans_and_peas_ha,selected_crop_area_ha,selected_crop_intensity,prop_winter_wheat,prop_winter_barley,prop_spring_barley,prop_beet_sugar_beet___fodder_beet,prop_maize,prop_oilseed_rape,prop_potatoes,prop_pulses___field_beans_and_peas,retained_for_clustering
g0004,1145.437582555047,347.71661292629557,74.79309197974196,0.0,0.0,0.0,65.58230550519444,2.250971983992327,100.97514371736422,591.3181261125885,0.5162377550015225,0.5880364520740049,0.12648537001806903,0.0,0.0,0.0,0.11090866761744997,0.0038067021533578628,0.1707628081371182,True
g0005,5499.440293511151,1978.550776625741,553.9163800091895,363.19947280153855,0.0,0.0,277.1830542504571,24.44235845892556,573.353076177465,3770.6451183233166,0.6856416138879335,0.5247247392789747,0.1469022839931163,0.09632290003548294,0.0,0.0,0.0735107774803563,0.006482274966728845,0.15205702424534095,True
g0006,248.8802331916593,116.9383792529096,0.0,6.123179867265998,0.0,0.0,14.634539705971331,0.0,9.409289866388821,147.10538869253577,0.5910689925272286,0.7949292700440901,0.0,0.04162444300435537,0.0,0.0,0.09948336927723912,0.0,0.06396291767431532,False
g0007,2175.1778037964555,375.7484755799425,73.45800409184874,104.0260314942858,41.79521989147718,11.616712882886388,139.89449290347977,17.6171733174372,150.3045984894611,914.4607086508187,0.4204073373012362,0.4108962495877117,0.08032931693722255,0.11375669890482688,0.04570477385861795,0.012703348293690506,0.15298032116642601,0.019265095974904497,0.16436419527659993,True
g0008,5036.928746195714,1143.5008741020806,331.70946392568067,191.9450039028229,222.34004383152114,9.89421831968672,200.25378484333766,53.09956072425847,204.99476469507346,2357.737714344462,0.46809034495975577,0.4849991867819004,0.1406897221465994,0.08141066868253863,0.09430228073241806,0.004196488124819973,0.08493471670957921,0.022521402784203292,0.08694553403794093,True
g0015,892.1175428298613,45.555619233271884,21.612848732006075,85.9611813064974,0.0,0.0,0.17709510097552256,0.0,6.349015508502399,159.65575988125326,0.17896269517894878,0.28533652194668496,0.13537155657948705,0.5384157851269037,0.0,0.0,0.0011092308921847862,0.0,0.03976690545473956,False
g0016,8692.86868313725,2776.00500787936,305.8147775067912,383.6058268990312,27.412583676473652,41.967710490983144,522.3499632775968,41.14993479124591,403.2509760592039,4501.556780580686,0.5178447926301905,0.6166766616950825,0.06793533713182268,0.08521625864053797,0.006089578564182305,0.009322932606787968,0.11603762625653594,0.009141267520774826,0.08958033758427586,True
g0017,10000.0,3938.016880937384,908.3938545624624,681.9779130822762,0.0,44.93548906283366,587.4738575804565,0.0,739.4213334168609,6900.219328642274,0.6900219328642274,0.5707089432057589,0.131647098635226,0.0988342370874269,0.0,0.006512182718063748,0.0851384325048768,0.0,0.1071591058486475,True
g0018,8702.599455213378,3716.850093657529,296.6347591107432,572.0611840471252,19.656365984352377,38.96647991483027,324.0169624129822,18.665280002360618,410.05778018253613,5396.908905312459,0.6201490638615325,0.6886998018437628,0.054963825462896014,0.10599793216520952,0.0036421526338907798,0.007220147791724543,0.06003750815472082,0.0034585130729161296,0.07598011887487945,True
g0019,9767.214265205008,1543.8166301475217,252.68630272540793,366.02164287127374,115.5364981869424,104.55569419617629,73.38948300838342,114.88379564655665,273.7342891698365,2844.6243359520986,0.29124213503597096,0.5427137111343051,0.08882941045388813,0.1286713462460645,0.04061573147874804,0.03675553670645983,0.02579935848851546,0.04038628025310236,0.09622862523891659,True
